thread_id,estimate,error,time_us
366,3.12,0.0215929,283.648
367,3.164,0.0224073,283.648
368,3.056,0.0855927,283.648
369,3.024,0.117593,283.648
370,3.16,0.0184073,283.648
371,3.14,0.00159264,283.648
372,3.124,0.0175927,283.648
373,3.032,0.109593,283.648
374,3.152,0.0104072,283.648
375,3.036,0.105593,283.648
376,3.136,0.00559282,283.648
377,3.072,0.0695927,283.648
378,3.164,0.0224073,283.648
379,3.252,0.110407,283.648
380,3.216,0.0744073,283.648
381,3.164,0.0224073,283.648
382,3.072,0.0695927,283.648
383,3.228,0.0864072,283.648
384,3.084,0.0575926,283.648
385,3.168,0.0264072,283.648
386,3.128,0.0135927,283.648
387,3.236,0.0944073,283.648
388,3.052,0.0895927,283.648
389,3.068,0.0735927,283.648
390,3.112,0.0295928,283.648
391,3.176,0.0344074,283.648
392,3.136,0.00559282,283.648
393,3.156,0.0144072,283.648
394,3.148,0.00640726,283.648
395,3.16,0.0184073,283.648
396,3.196,0.0544074,283.648
397,3.2,0.0584073,283.648
398,3.056,0.0855927,283.648
399,3.212,0.0704072,283.648
400,3.124,0.0175927,283.648
401,3.1,0.0415928,283.648
402,3.052,0.0895927,283.648
403,3.04,0.101593,283.648
404,3.164,0.0224073,283.648
405,3.08,0.0615928,283.648
406,3.152,0.0104072,283.648
407,3.096,0.0455928,283.648
408,3.108,0.0335927,283.648
409,3.18,0.0384073,283.648
410,3.168,0.0264072,283.648
411,3.12,0.0215929,283.648
412,3.128,0.0135927,283.648
413,3.164,0.0224073,283.648
414,3.172,0.0304072,283.648
415,3.116,0.0255928,283.648
416,3.18,0.0384073,284.672
417,3.144,0.00240731,284.672
418,3.192,0.0504072,284.672
419,3.132,0.00959277,284.672
420,3.1,0.0415928,284.672
421,3.072,0.0695927,284.672
422,3.172,0.0304072,284.672
423,3.148,0.00640726,284.672
424,3.08,0.0615928,284.672
425,3.216,0.0744073,284.672
426,3.184,0.0424073,284.672
427,3.188,0.0464072,284.672
428,3.076,0.0655928,284.672
429,3.084,0.0575926,284.672
430,3.096,0.0455928,284.672
431,3.104,0.0375926,284.672
432,3.172,0.0304072,284.672
433,3.136,0.00559282,284.672
434,3.228,0.0864072,284.672
435,3.088,0.0535927,284.672
436,3.208,0.0664072,284.672
437,3.2,0.0584073,284.672
438,3.028,0.113593,284.672
439,3.164,0.0224073,284.672
440,3.176,0.0344074,284.672
441,3.152,0.0104072,284.672
442,3.132,0.00959277,284.672
443,3.164,0.0224073,284.672
444,3.128,0.0135927,284.672
445,3.068,0.0735927,284.672
446,3.088,0.0535927,284.672
447,3.128,0.0135927,284.672
448,3.036,0.105593,283.648
449,3.068,0.0735927,283.648
450,3.096,0.0455928,283.648
451,3.124,0.0175927,283.648
452,3.14,0.00159264,283.648
453,3.144,0.00240731,283.648
454,3.236,0.0944073,283.648
455,3.176,0.0344074,283.648
456,3.104,0.0375926,283.648
457,3.136,0.00559282,283.648
458,3.272,0.130407,283.648
459,3.068,0.0735927,283.648
460,3.044,0.0975928,283.648
461,3,0.141593,283.648
462,3.064,0.0775928,283.648
463,3.076,0.0655928,283.648
464,3.16,0.0184073,283.648
465,3.188,0.0464072,283.648
